Title,body,manual
"school is broken, lets fix it",QR Code Link to This Post People are traumatized by school It should be fun and challenging We should be far more advanced than we are educationally When school is fixed it should be possible to get the equivalent of a phD in applied math by age 14 It starts with chess at age 2 then a game called tiny polka dot I think step 3 might be python programming and robotics but I m not sure If you want to fix our educational system so humans can realize their full potential and make a positive contribution let me know Kevin Moriarty kevin7314 at you know make a guess 480 248 0939,0
Challenge Island STEAM enrichment franchise,QR Code Link to This Post CHALLENGE ISLAND is looking to ad their 150 franchises across the country If you are a teacher or just love kids Challenge Island might just be the right franchise for you Entrepreneur magazine has named Challenge Island one of the top 50 Franchises in the world You can run in school field trips after school programs summer camps family nights and more Email me or text to get more information 781 974 8768,1
Piano Teacher Wanted for Expanding Studio,QR Code Link to This Post Join our team of piano teachers Peace Piano Studio is looking to expand again Do you teach piano and are tired of handling crazy scheduling or payments or are you a music student at NAU eager to start teaching I have students and a studio ready for you Teach in a fun and relaxed environment with a great curriculum and solid community Get paid by the hour and just come in and do what you love teach As the owner I handle all scheduling parental communication supply purchasing studio rent and collecting payments All you have to do is come and teach in a proven method that works 5 weeks of paid holidays and paid training ,1
Teacher,QR Code Link to This Post TEACHING POSITION OPEN LA QUINTA WE ARE STARTING ABOVE MINIMUM WAGE If you worked for us before and thinking of coming back call MISS HEATHER or MISS THERESA We are family and would love to welcome you back La Quinta school with a great director Are you ready to come back to work in a Field that is FUN First School is ready for you to join our family Teaching position are now available Do we have your attention How about this we now offer Health Insurance too We contribute to your plan We ALSO offer a 401K AND we match a percentage of what you put in NEXT we are about to release our employee appreciate trip This year a trip out of the desert where you get pampered This will be for those staff members that have history with us We are about family and quality We truly try and reward those who work hard and help everyone around them grow kids and coworkers alike we are growing and going strong through COVID Great team We love our staff We are remodeling the rooms and giving teachers new supplies to make their jobs easier and more fun No DSSR s Administrators care we are family and so are our employee s If you are looking for a strong stable company to work for you found it We have availability LA QUINTA locations Email me immediately to set up an interview or better yet call us at 760 772 2996 12 Early Childhood Education units are REQUIRED this is a must and is non negotiable Established and growing program in need of happy loving teachers ECE Units required for ALL POSITIONS Please provide proof at interview unofficial transcripts are allowed We will not conduct interviews without proof of ECE Units at least 12 UNITS in ECE Fast track students welcomed ALL schedules needed Health Insurance Benefits Benefits PTO and 401K with a match yes that is free money VERY FEW CENTERS OFFER THIS You have have a retirement plan and focus on your future We want employees who LOVE what they do and who want to grow with us If you worked with us before come back and see the change ,1
"Looking for K-12 Math , Science and English Tutors!",QR Code Link to This Post We are hiring Great pay flexible hours Looking for K 12 tutors in Biology History Algebra I Algebra II Geometry Pre Calculus Calculus English Language Arts and Reading Potential applicants must have reliable transportation Applicants must have a degree or be enrolled as a college student Tutors will earn 25 45 per hour Tutors must be available for in person tutoring Please apply immediately if your interested Please visit our site at Privatelvtutors com and email us your resume by replying to this post ,1
Autism tutor,QR Code Link to This Post Looking for skilled person to work with young adult with autism in 3 hours sessions in home 2 3x and every other weekend to run current programs and help create new ones to teach new skills including language comprehension We use alot of positive reinforcement in keeping learning fun I have someone to train candidate but looking for some experience Call Randee Hass 702 204 9127 702 204 9127,1
Lead teacher Needed ASAP Also Sign Up Bonus !!!,QR Code Link to This Post Hi we are currently seeking passionate teachers with positive attitudes to be part of our loving team Ideal candidate will have Must have or be in process of obtaining Early Childcare Education ECE or Child Development Associate Degree Experience working with infant and toddlers Sheriff Card and CPR Would Certainly Be A Plus If you meet these requirements please reply with cover letter and resume to this ad 702 428 7471,1
Child care teacher,QR Code Link to This Post Ensuring the children have good hygiene and changing diapers as necessary Cleaning interactive areas throughout the day Preparing meals and snacks for the kids Organizing activities and developing curriculum for older children Developing a schedule for the children to maintain throughout the day Keeping records of each child s progress interests and any problems that may occur Maintaining contact with the children s parents and contacting them in the case of an emergency,1
Afterschool Teacher,QR Code Link to This Post Afterschool teacher needed to manage a small group of children according to the following schedule Hours T TH F 2 45 to 5 15 and W 11 45 to 5 15 Someone who loves working with a group of 6 to 8 children aged 6 to 10 years The students play games legos playdoh do arts and crafts and play outside 25 per hour Will be required to obtain a valid finger print clearance card ,1
academic subject teacher (part-time),QR Code Link to This Post Qualified teacher for Grade 1 5 subjects including supplementary standards aligned Math and Science to start January 2023 Collaborate with our small and dedicated faculty to support small classes of creative students Teaching may also include movement garden a foreign language folk dance woodworking or other passion To be qualified the applicant must have a Fingerprint Clearance Card and a bachelor s degree Within a year of hire the teacher is expected to attain a passing score on the AEPA or NES exam or AZ teaching certification Familiarity with Waldorf education is preferred but not required Please complete the online application at our website then email a letter and resume demonstrating experience and success with elementary math or science instruction Compensation depends on experience Desert Sky is an equal opportunity employer and does not discriminate on the basis of race color national origin sex sexual orientation age religion or disability in admission or access to or treatment or employment in its educational programs or activities Desert Sky does E Verify for employment eligibility Desert Sky is an at will employer ,1
CDL Instructors Needed,QR Code Link to This Post Come work for People Who Really Care at a small family business You ll have stable employment with us We ve been in business for over 30 years Gain a rewarding career helping others where there s opportunity for growth Yuma Truck Driving School is seeking part time full time CDL Instructors We are a leader in providing CDL training and job placement to students who are entering the transportation industry As a CDL instructor you will provide classroom range and on road training to students seeking a Class A and or Class B Commercial Driver s License The ideal candidate will have an upbeat personality and be enthusiastic about teaching Qualifications Class A CDL No auto restriction Class B CDL a plus Clean MVR 3 years of recent verifiable tractor trailer driving experience Comfortable working outdoors in varying weather conditions Working knowledge of state federal regulations for CMV Motivated teachable and articulate Prior teaching experience is not required We will train you to be an instructor Benefits for full time employees Health insurance Dental insurance Vision Insurance Life insurance Paid time off Paid Vacation Weekly Pay More Info Military experienced candidates are encouraged to apply Open to applicants who do not have a college diploma Great position for a retiree from the Trucking Industry Website https yumatruckdrivingschool com Phone Number 520 622 0419 ext 4485 Yuma Truck Driving School is an Equal Opportunity Employer We do not offer relocation benefits Local AZ candidates only please ,1
Early Interventionist ASL $25 DOE,QR Code Link to This Post Help make a difference in children s lives We are looking for Early Childhood Educators working with Special needs children 0 3 years Bachelors degree or AA in Psychology Child Development Applied Behavior Analysis or related field The right candidate must have excellent written and verbal communication skills Be bright energetic multitasking engaging with children communicate well with caregivers and collect proper data Must be able to drive from Client to Clients homes Bilingual Spanish ASL need it ASAP Hiring areas High Desert Indio Cochella Palm Spring La quinta Blythe ,1
Direct Support Professionals,QR Code Link to This Post Non Profit Organization looking for dedicated workers for full time and part time direct support workers 3 Days required paid training Immediate Hires Competitive Pay Leave Benefits High School Diploma or GED required No Felony s Must have excellent attendance Must be a patient and flexible person Day Vocational DSP s Mon Friday 8 30am 3pm Plan and execute community activities daily Document daily on individual progress goals and behaviors Support individuals to complete arts and craft projects basic vocational skills volunteer activities Residential DSP 7 days a week flexible 6am 2pm 2pm 10pm 10pm 6am or 7am 3pm 3pm 11pm 11pm 7pm and Sat Sun 6am 6pm 6pm 6am Shifts Support Individuals with daily living skills including Cooking Cleaning Washing Personal Hygiene Care Budgeting and shopping,0
*$30/HOUR TUTORS NEEDED READING & MATH***,QR Code Link to This Post READING AND MATH TUTORS TEACHERS Small group tutoring 6max for elementary students during school hours at Tucson Catholic schools 2 or 4 days per week 1 2 day or longer you decide Tutoring hours are during the school day Teaching experience required Must have a current AZ Fingerprint Clearance Card PLUS an ARIZONA Teaching Certificate 30 00 per hour Keywords Teacher Education Tutor Mathematics ,1
FUN-LOVING TEAM MEMBERS WANTED,QR Code Link to This Post Tinker Town Learn Play Center is looking to fill the following positions 10a 7p 1p 9p shifts available for Tuesday Saturday and Wednesday Sunday for both Lead Teachers and Assistant Teachers Responsibilities Institute Lesson Plan and Daily Schedule while following childcare regulations Ensure the learning environment is clean hygienic and safe You will need City of Las Vegas Sheriffs Finger Print Card Current TB Slip Clearance letter Experience working in a childcare setting is preferred but not required Current First Aid certificate due within 30 days of employment If you are interested have a FUN LOVING PERSONALITY to work with children come down and fill out an application 6200 Smoke Ranch Rd Las Vegas NV 89108,1
TENDERHEARTED APPLICANTS NEEDED,QR Code Link to This Post Stepping Stones Children s Academy 3 is looking to fill the following positions p 9p 3p 11p shifts available for Monday through Friday for both Lead Teachers and Assistant Teachers Responsibilities Institute Lesson Plan and Daily Schedule while following childcare regulations Ensure the learning environment is clean hygienic and safe You will need City of Las Vegas Sheriffs Finger Print Card Current TB Slip Clearance letter Experience working in a childcare setting is preferred but not required Current First Aid certificate due within 30 days of employment If you are interested have a FUN LOVING PERSONALITY to work with children come down and fill out an application 3451 N Michael Way LV NV 89108,1
KIND-HEARTED TODDLER TEACHER WANTED,QR Code Link to This Post DO YOU LIKE TO LOVE ON TODDLERS ALL DAY THIS IS THE POSITION FOR YOU Stepping Stones Children s Academy 2 is looking to fill Early Mornings and Mid Shift position in the toddler room Responsibilities Love and nurture the children while following childcare regulations Ensure the learning environment is clean hygienic and safe You will need City of Las Vegas Sheriffs Finger Print Card Current TB Slip Clearance letter Experience working in a childcare setting is preferred but not required Current First Aid certificate due within 30 days of employment If you are interested have a FUN LOVING PERSONALITY to work with children come down and fill out an application 1655 E Warm Springs Rd 89119,1
FUN-LOVING TEAM MEMBERS WANTED,QR Code Link to This Post Stepping Stones Children s Academy is looking to fill the following positions 10a 7p 3p 11p shifts available for Tuesday Saturday and Wednesday Sunday for both Lead Teachers and Assistant Teachers Responsibilities Institute Lesson Plan and Daily Schedule while following childcare regulations Ensure the learning environment is clean hygienic and safe You will need City of Las Vegas Sheriffs Finger Print Card Current TB Slip Clearance letter Experience working in a childcare setting is preferred but not required Current First Aid certificate due within 30 days of employment If you are interested have a FUN LOVING PERSONALITY to work with children come down and fill out an application 720 Rancho Del Norte Dr Las Vegas NV 89031,1
FUN-LOVING TEAM MEMBERS WANTED,QR Code Link to This Post Stepping Stones Children s Academy 2 is looking to fill the following positions 10a 7p for Tuesday Saturday for a Lead Teacher Responsibilities Institute Lesson Plan and Daily Schedule while following childcare regulations Ensure the learning environment is clean hygienic and safe You will need City of Las Vegas Sheriffs Finger Print Card Current TB Slip Clearance letter Experience working in a childcare setting is preferred but not required Current First Aid certificate due within 30 days of employment If you are interested have a FUN LOVING PERSONALITY to work with children come down and fill out an application 1655 E Warm Springs Rd 89119,1
Working with Special Needs Children,QR Code Link to This Post Looking for experienced providers to work with special needs children in community based programs and or working with special needs children in their homes ,0
NPP 1 - Nurturing Parenting Practitioner,QR Code Link to This Post Looking for a qualified Nurturing Parenting Practitioner to work with families and children must have training and experience,0
Asst. Director,QR Code Link to This Post Job description Assistant Director Job Responsibilities Provide support to the center in all facets of center operations Serve as Center Director in the absence of the Director Ensure compliance with Licensing Regulations CACFP Policies and Procedures Accreditation Standards and Quality First Guidelines Oversee business operations to retain customers and meet performance goals Provide professional development and coaching to Small Miracles employees to ensure high quality expectations are met through the use of developmentally appropriate practice Qualifications Skills and Experience Desire to make a difference in the lives of children and employees Minimum of 1 years in a leadership role preferably in the early childhood field Ability to communicate effectively with employees supervisors families and children Must meet requirements to be a Director as defined by the Department of Health Services Office of Child Care Licensure Preferred Rate Level F or Higher on the Arizona Early Childhood Career Lattice Candidates maintaining progress towards Level F with an education plan showing expected time to attain Level F will be considered for employment Extensive experience with creating child centered environments and proven ability to coach others Benefits Educational Assistance Discounted Child Care Medical 401 K with Employer Match Paid Time Off Competitive Salary Physical Requirements Prolonged periods sitting at a desk and working on a computer Prolonged periods standing and walking throughout classrooms and multiple schools Must be able to lift up to 45 pounds at a time Must be able to regularly travel to assigned schools Must be able to sit and stand on the floor throughout the day and bend kneel or squat to be at eye level with children Job Type Full time Schedule 10 hour shift 8 hour shift Monday to Friday Work Location One location Small Miracles Education is an equal opportunity employer that is committed to diversity and inclusion in the workplace We prohibit discrimination and harassment of any kind based on race color sex religion sexual orientation national origin disability genetic information pregnancy or any other protected characteristic as outlined by federal state or local laws This policy applies to all employment practices within our organization including hiring recruiting promotion termination layoff recall leave of absence compensation benefits and training Small Miracles Education makes hiring decisions based solely on qualifications merit and business needs at the time ,1
Daycare Teacher Assistant,QR Code Link to This Post Our childcare facility is once again growing and we are looking for additional help You will be helping teachers or assisting the owner Bilingual a plus Someone patient with children is a must Experience desired but not necessary We are willing to train the right candidate Submit your resume Pay depends on experience ,1
Making a difference in the Black Community- Work with us Part Time $$,QR Code Link to This Post We are a Black Owned Organization that focuses on spreading awareness of several 501 c 8 Not For Profit programs benefits resources that was created to support and give a helping hand to underprivileged communities yet isn t being fully utilized simply because most don t know they exist We are passionate about teaching people how to have more resources come into our communities to make a difference Some of the Free Not For Profit 501 c 8 Programs Community Grants funding to plan and organize hands on one day volunteer activities in your community multiple times per year up to 2000 max Ex care packages back to school drives giveaways food drives clothing drives hygiene kits Online Learning Program Over 200 Courses Microsoft courses Cyber security Biz management Project Management Technology Finance understanding your 401k IRA Retirement planning Parental Legacy Program Gives 900 per month per child in child support 24 000 for high education per child if orphaned Scholarship Program 300 Scholarships given away annually 10 000 each 2500 for 4 years Fun Family Events Allows you to apply to go to fun attractions for free with your family and other local policy owners Ex Kings Dominion Busch Gardens Six Flags Regional Baseball or basketball games The Zoo or Aquarium etc All of these programs costs the individual absolutely nothing That is why knowledge is so important to our community We believe everyone should know about this Unfortunately the percentage in the actual community that is aware of this is less than 4 We desire to change that significantly And make a difference in our community We have been in operation over 13 years serving our community The need is great so we are looking for help This is a 1099 position independent and completely flexible schedule based on when you want to work This position is best for people looking for part time work It s ideal for those that have limited availability but need to make the hours count This allows people to make great money on the side because our model teaches the average part timer how to realistically make 31 500 54 000 on the side We only promote from within so for those that are truly passionate about this movement there are ways to grow significantly in title responsibility and income within the company Entire divisions will be needing more leadership as we continue to grow and that pays well into six figures plus ownership rights To apply Set up a time in our schedule for an initial phone interview 15 20 mins We look forward to speaking to you https calendly com monemacklin overview,1
*WANTED* COLLEGE ADMISSIONS REPRESENTATIVES…WANT TO HELP CHANGE LIVES?,QR Code Link to This Post WANTED COLLEGE ADMISSIONS REPRESENTATIVES WANT TO HELP CHANGE LIVES LAS VEGAS COLLEGE Are you tired of doing something you don t believe in Immediate openings Reply today Customer service sales experience a plus No experience required Would you like to use your skills good energy and personality to help people improve their lives Is it time for you to pay it forward If you answered yes then Advanced Training Institute ATI may have the opportunity you have been looking for Sales and customer service are at the foundation of what we do This position requires a willingness to learn a good amount of energy and the drive to be one of the best at what you do At LVC you will interview applicants through telephone contact and personal one on one interviews to determine prospect s ability motivation and commitment to their own futures in order to qualify for various career training programs and career placement assistance Las Vegas College has requirements set upon it by its accrediting bodies regarding graduation and job placement rates Our graduates also enjoy career placement services throughout their entire careers without limits and without any additional fees Our team members provide prospective students with an overview of programs offered and a tour of the hands on classroom training programs we provide There is a good amount of sales needed in this position We fully train our new admissions representatives Registered Nursing LPN Medical Assisting Medical Coding and much more Duties include heavy phones conduct daily interviews of applicants Full training is provided by a trainer with 25 years of experience Compensation 21 hr and UP depending on sales customer service experience monthly graduate bonus plan PTO medical dental vision 401k benefits available Requirements Associate or bachelor s degree preferred but not required Good work ethic Good communication skills Desire to help others Ability to work in a fast paced environment Good customer service skills Upbeat energetic personality Please reply to this post and forward resume cover letter optional to Bob Allen SVP Las Vegas College,1
Daycare Teacher Assistant,QR Code Link to This Post Our childcare facility is once again growing and we are looking for additional help You will be helping teachers or assisting the owner Bilingual a plus but not required Someone patient with children is a must We are willing to train the right candidate Submit your resume Pay depends on experience ,1
Personal Trainer Instructor,QR Code Link to This Post Growing Technical College is seeking a CERTIFIED Personal Trainer to teach in the Evenings part time Monday Thursday 5 20 pm 10 20 pm The Instructor will teach small class sizes and train them to be Personal Trainers and get them certified with NASM The school is equipped with a Gym you can use as well You will do a Lecture and then go to the Gym for hands on training Looking for candidates with a caring attitude and care about helping a student achieve their academic goals and career goals The campus is National Accredited by ACCET which has minimum standards of completion and placement rates The program is designed with NASM https atitraining edu programs personal fitness trainer CANDIDATES MUST HAVE 1 2 years or more verified field experience on letterhead from a previous employer explaining what you did for them 2 Personal Training Certifications 3 or Education in the Personal Training Field Highschool Diploma or equivalent to Post Secondary Education ,1
Music Teachers Needed at Allegro School of Music Eastside,QR Code Link to This Post MUSIC TEACHERS NEEDED IMMEDIATELY AT ALLEGRO SCHOOL OF MUSIC EASTSIDE 6979 E Broadway Blvd Employment by Contract Pay Scale 30k 50K per year at 25 30 hours per week We need Guitar Piano Voice Strings Drums and Winds teachers APPLY ONLINE HERE https allegroschoolofmusic net meet our teachers music teachers tucson Please take a look at the following pre requisites If you feel that Allegro School of Music is a good fit for you send us your professional teaching resume today University Training and or Professional Performance Experience Friendly Warm Personality Experience and expertise in teaching beginners Customizable teaching method that meets the needs of your students personal and individual musical goals Experience teaching all ages from age 5 through adult Experience teaching Popular Music Experience teaching private music lessons to community music students Must Pass State and Federal Background Checks Please send a resume and we will contact you for an interview We have schools at First River and Broadway Kolb and are open 7 days a week learn more about Allegro School of Music at www allegroschoolofmusic net,1
Music Teachers Needed at Allegro School of Music Foothills,QR Code Link to This Post MUSIC TEACHERS NEEDED IMMEDIATELY AT ALLEGRO SCHOOL OF MUSIC FOOTHILLS 4641 N 1st Ave Employment by Contract Pay Scale 30k 50K per year at 25 30 hours per week We need Guitar Piano Voice Strings Drums and Winds teachers APPLY ONLINE HERE https allegroschoolofmusic net meet our teachers music teachers tucson Please take a look at the following pre requisites If you feel that Allegro School of Music is a good fit for you send us your professional teaching resume today University Training and or Professional Performance Experience Friendly Warm Personality Experience and expertise in teaching beginners Customizable teaching method that meets the needs of your students personal and individual musical goals Experience teaching all ages from age 5 through adult Experience teaching Popular Music Experience teaching private music lessons to community music students Must Pass State and Federal Background Checks Please send a resume and we will contact you for an interview We have schools at First River and Broadway Kolb and are open 7 days a week learn more about Allegro School of Music at www allegroschoolofmusic net,1
Assistant child care teacher for daycare school,QR Code Link to This Post Looking to hire a full time preschool assistant teacher Hours are 10AM 6PM Should have some Early Childhood Education Credits and experience in a daycare setting The philosophy is based on teaching and guiding every child to achieve individual potential The school is a fun learning environment for ages 1 5 If this appeals to you please email resume Please be sure your contact information is included ,1
Substitute Teacher K-12 | Sub Teaching Permit REQUIRED,QR Code Link to This Post The best place to be a substitute teacher Choose where when and what you teach Flexibility at your fingertips Apply once and choose from hundreds of jobs at schools near you A modern subbing experience Our mobile app has everything you need to find and prepare for assignments Control your earning potential Every Friday is payday and you can earn rewards for hitting work day goals Work that fits your life Take on a long term position or choose a new assignment every day Get reimbursed for your Livescan fees after teaching your first day with Swing How to get started Complete the registration form Submit the required documentation Accept your first assignment Qualifications Required 4 year degree from an accredited university in the U S Required Substitute Teaching Permit or Teaching Credential Swing accepted credentials permits include Emergency 30 Day Substitute Teaching Permit Single Subject Teaching Credential Multiple Subject Teaching Credential Substitute Teaching Permit for Prospective Teachers and Life Credential Preferred Prior teaching tutoring childcare experience ,1
Early Interventionist ASL $25 +,QR Code Link to This Post Help make a difference in children s lives We are looking for Early Childhood Educators working with Special needs children 0 3 years Bachelors degree or AA in Psychology Child Development Applied Behavior Analysis or related field The right candidate must have excellent written and verbal communication skills Be bright energetic multitasking engaging with children communicate well with caregivers and collect proper data Must be able to drive from Client to Clients homes Bilingual Spanish ASL need it ASAP Hiring All San Diego Areas ,1
Early Interventionist ASL $25 +,QR Code Link to This Post Help make a difference in children s lives We are looking for Early Childhood Educators working with Special needs children 0 3 years Bachelors degree or AA in Psychology Child Development Applied Behavior Analysis or related field The right candidate must have excellent written and verbal communication skills Be bright energetic multitasking engaging with children communicate well with caregivers and collect proper data Must be able to drive from Client to Clients homes Bilingual Spanish ASL need it ASAP Hiring All IE Areas ,1
Early Interventionist ASL $25 +,QR Code Link to This Post Help make a difference in children s lives We are looking for Early Childhood Educators working with Special needs children 0 3 years Bachelors degree or AA in Psychology Child Development Applied Behavior Analysis or related field The right candidate must have excellent written and verbal communication skills Be bright energetic multitasking engaging with children communicate well with caregivers and collect proper data Must be able to drive from Client to Clients homes Bilingual Spanish ASL need it ASAP Hiring All Riverside Areas ,1
Early Interventionist ASL $25 +,QR Code Link to This Post Help make a difference in children s lives We are looking for Early Childhood Educators working with Special needs children 0 3 years Bachelors degree or AA in Psychology Child Development Applied Behavior Analysis or related field The right candidate must have excellent written and verbal communication skills Be bright energetic multitasking engaging with children communicate well with caregivers and collect proper data Must be able to drive from Client to Clients homes Bilingual Spanish ASL need it ASAP Hiring OC Areas ,1
I Need Someone to play Tennis with ? Tennis Lessons,QR Code Link to This Post Hello Im looking for someone to play tennis with on a weekly basis coach I would say I m beginner intermediate and would like to play with someone better than me Open to playing at any location near Sherman Oaks Van Nuys You do not have to be a professional tennis coach you just need to play tennis well This is a great opportunity for college student or someone out of school looking for some extra cash Willing to pay 50 hr Please text me your name instagram linkedin 310 254 7929 Thanks Keywords tutoring lessons teacher coach,1
Part-time Tutor,QR Code Link to This Post Part time Math tutors needed for Pasadena learning center MUST have 4 year college degree Some teaching experience preferred Flexible schedules and good work environment We provide paid training To apply please submit your resume and days and times you are available for work Must be able to tutor Math up through Algebra II Starting pay is 18 20 per hour ,1
"Test Prep Tutor $100 remote, $120 in-person",QR Code Link to This Post Teachers Who Tutor NYC has come to LA We re looking for test prep tutors who have been trained in tutoring both the math and ELA sides of the SSAT ISEE SAT and ACT We pay 100 hr for remote work and 120 hr for in person work This is an independent contractor job where we d pitch you work and you let us know if it fits your schedule Please respond with a resume as well as what training and experience you have tutoring what standardized tests Looking forward to hearing from you Brian brian nycteacherswhotutor com,1
On-Line Tutoring in Mathematics for 11 years old,QR Code Link to This Post I am looking for a tutor for a brilliant 11 years old for expanding the scope the school math s studies A college student or an experienced teacher with a strong interest in engaging in old fashion tutoring to introduce geometry calculus trigonometry number theory and such The lesson will be on line 3 4 time a week for one hour the fee is negotiable but I would like to start with 30 per hour ,1
🌴🏠  LIVING SKILLS INSTRUCTOR  🏠🌴,QR Code Link to This Post OC INDEPENDENT LIVING www OCindLiving com FLEXIBLE WORK SCHEDULE PERMANENT PART TIME POSITIONS THROUGHOUT ALL OF O C UP TO 35 HRS PER WEEK YOU RE GOING TO LOVE THIS JOB SERIOUS INQUIRIES ONLY Looking for a short term gig Please do not apply We will only respond if you follow the instructions in the APPLY section below PROOF OF COVID 19 VAX and BOOSTER REQUIRED NO EXCEPTIONS ABOUT OC INDEPENDENT LIVING OC Independent Living OCIL provides independent living skills training and support to high functioning fun and friendly adults with developmental disabilities throughout all of OC Our focus is on stable long term productive relationships IL INSTRUCTOR Works 1 1 with clients living independently or who hope to move out of their family home Clients usually require assistance 1x per week Support may include a mix of cooking budgeting going to doctors appointments shopping and interfacing with social service agencies etc IL Instructors typically start with 1 2 clients and within a few months have 5 10 long term clients Most clients have been vaccinated for Covid 19 and live in low risk environments We are looking for mature responsible fun motivators who communicate well and are comfortable interacting with families and other agencies This position is well suited to those who have experience working with people with disabilities however previous experience is not required IL Instructors work from home so you travel to the client s place from your home you are not required to report to our office You do not have to live close to our office which is in San Juan Capistrano RESPONSIBILITIES Acts as a role model and support resource while teaching living skills Keeps daily documentation and other records up to date Maintains friendly trusting and respectful relationships with clients and their families Participates in client progress meetings May be required to lift up to 30 lbs BIG PLUS but not required Bilingual Fluent in reading writing and speaking Spanish and English HUGE PLUS but not required High proficiency in ASL HOURS Hourly Permanent Flexible Part Time arranged by you and your client Fits well with school and other schedules Hours increase as clients enter the program which can take a few months PAY 18 per hour Raise in 6 mos Raise in 1 year based on job performance Reimbursement for use of auto and cell phone APPLY Email RESUME AND COVER LETTER to Steve W Your cover letter should reference OCIL and the position of IL Instructor If it appears to be generic and spammed out we won t respond Your email must say THIS IS A REAL INQUIRY in the subject box or we won t read it We will contact you to discuss the position by phone then schedule an in person interview AT THE TIME OF INTERVIEW PLEASE BE PREPARED TO SHOW 1 Proof of Covid 19 vaccination booster if last vaccine was over 6 mos ago 2 Current CA driver s license 3 Current DMV Driver Record report DMV website for 5 4 Current Declaration Page not the Proof of Insurance card showing coverage amounts of your auto insurance NOTE A minimum requirement of 100 000 per accident personal not commercial coverage for the car that you will be using to transport clients JOB OFFERS ARE CONTINGENT UPON 1 Passing Live Scan background check 2 Approval of Driver record WHEN HIRED 1 Online CPR or proof of current cert and Online Harassment training within 30 days 2 Consent to drug testing consent only we don t require a test at time of hire WE ONLY ACCEPT PDF s Please No Word Docs Email subject should read THIS IS A REAL INQUIRY THANKS We look forward to meeting you ,1
"Hiring PT Esthetician, Cosmo, Barber Instructor",QR Code Link to This Post Advance Beauty College is seeking team members with the same passion values and goals to enrich the lives of our students and further education in the beauty and wellness industries We are a Dermalogica Image Skin Care and Matrix Partnership School Requirements California Cosmetology Barbering Esthetician license Minimum of three years of combined education and professional experience Well spoken professional and dependable Good communication and interpersonal skills Work well in a team environment Be current on industry trends Excellent technical skills covering all aspects of your license Schedule Esthetician Instructor Schedule Monday to Friday 3 00 PM to 9 00 PM Cosmo Barber Instructor Schedule Tuesday Wednesday Thursday 3 00 PM to 9 00 PM Benefits Professional discount on products and services Call text 949 565 5455 or email your resume to suzette advancebeautycollege com ,1
*French Tutors* $40-$50/ hr - In-person & ZOOM,QR Code Link to This Post LA Tutors 123 is a premier in home and online private tutoring service provider Founded in 2007 by a team of educators with decades of experience LA Tutors 123 was created with the vision of providing unparalleled one on one instruction We are currently accepting applications for engaging enthusiastic part time French tutors to join our team JOB DESCRIPTION REQUIREMENTS Minimum of 3 years prior teaching tutoring experience A relatively flexible schedule particularly during evenings and weekends In depth knowledge of the High School and AP French Curriculum Previous experience creating lesson plans and managing tutoring timelines Bachelor s degree or higher from a prestigious university A fun positive personality and strong interpersonal skills Minimum 1 year commitment OUR SERVICE LOCATIONS Currently we are looking for candidates who can serve the following areas and ONLINE VIA ZOOM Westside Santa Monica Brentwood Palisades West LA Beverly Hills San Fernando Valley Sherman Oaks North Hollywood Studio City Encino WHY WORK FOR LA TUTORS 123 Competitive tutor rates with regular performance evaluations and raises Flexible scheduling Comprehensive support infrastructure We provide all materials handle all the billing and consult with families to make your job easier COMPENSATION The pay rate ranges from 40 50 hr depending upon experience other relevant qualifications and performance in our program The higher pay rate applies to tutors who possess teaching credentials certificates certain advance degrees or are more experienced instructors TO APPLY To apply for this position please visit http www latutors123 com tutoring application and fill out an application online We will contact you shortly to schedule an interview if we think that your qualifications are a match with our programs and services ,1
INSTRUCTIONAL ASSISTANT SPECIAL EDUCATION ROVING POSITION,QR Code Link to This Post JOB ANNOUNCEMENT 2022 45 NATIONAL SCHOOL DISTRICT announces an opening for the position of INSTRUCTIONAL ASSISTANT SPECIAL EDUCATION ROVING POSITION 6 hours per day 210 days per year PURPOSE STATEMENT The job of Instructional Assistant Special Education is done for the purpose of assisting in the supervision and instruction of special education students relieving teachers of clerical tasks and developing students daily living and behavioral skills Knowledge of handicapping conditions student behavior and characteristics controlling and motivating students correct English usage spelling grammar and punctuation routine record keeping general purposes and goals of public education Ability to work with understand and be empathetic to students who have mental emotional and physical handicaps assume responsibility for supervising special education students exercise patience and tact in dealing with handicapped students learn and utilize standard teaching aids and office machines learn and utilize simple methods and procedures to be followed in special education instructional settings familiarity with and ability to related to special education students follow written and oral instructions SALARY Appropriate placement on the current Classified Salary Schedule Range 16 20 31 24 73 per hour Employee receive medical dental and life insurance and Employee District contributoin to the Public Retirement System This position is covered by a collective bargaining agreement MEDICAL EXAMINATION Offer of employment is contingent upon satisfactory completion of a District paid pre placement medical examination which includes drug testing FBI and Department of Justice Fingerprint clearance 77 processing fee APPLICATION PROCEDURE Interested applicants must submit and online application through EDJOIN APPLICATION PERIOD FOR INTERNAL APPLICANTS ONLY APPLICATION PERIOD FOR INTERNAL APPLICANTS ONLY November 29 December 19 2022 4 00p m APPLICATION PERIOD FOR OUTSIDE APPLICANTS December 6 December 19 2022 4 00 p m AN EQUAL OPPORTUNITY EMPLOYER,1
